,Seed,Learning Rate,Dropout Rate,Temperature,Best Training Loss,Best Validation Loss,Epoch,Alpha Max Indices
0,1,0.001,0.2,0.5,0.015851929783821106,0.0035043545067310333,23,"[3, 3, 7]"
1,1,0.001,0.3,0.5,0.025413764640688896,0.004965127911418676,15,"[3, 3, 7]"
2,1,0.001,0.4,0.5,0.05629581958055496,0.006430937442928553,10,"[3, 3, 7]"
3,1,0.001,0.5,0.5,0.049918897449970245,0.04288750886917114,6,"[3, 3, 7]"
4,1,0.001,0.6,0.5,0.07722300291061401,0.023481251671910286,9,"[3, 3, 7]"
5,1,0.001,0.7,0.5,0.05408701300621033,0.0040889098308980465,32,"[3, 3, 7]"
6,1,0.001,0.8,0.5,0.13776665925979614,0.0035368555691093206,14,"[3, 3, 7]"
7,1,0.003,0.2,0.5,0.03189431130886078,0.004804067313671112,8,"[3, 3, 7]"
8,1,0.003,0.3,0.5,0.029689570888876915,0.004634775221347809,7,"[3, 3, 7]"
9,1,0.003,0.4,0.5,0.1692064106464386,0.014413726516067982,0,"[3, 3, 7]"
10,1,0.003,0.5,0.5,0.13784731924533844,0.005029262509196997,2,"[3, 3, 7]"
11,1,0.003,0.6,0.5,0.05618928745388985,0.004094182047992945,12,"[3, 3, 7]"
12,1,0.003,0.7,0.5,0.0720149353146553,0.004993969574570656,9,"[3, 3, 7]"
13,1,0.003,0.8,0.5,0.16438078880310059,0.004437570925801992,6,"[3, 3, 7]"
14,1,0.005,0.2,0.5,0.027496052905917168,0.009623593650758266,10,"[3, 6, 7]"
15,1,0.005,0.3,0.5,0.020948177203536034,0.00896819680929184,11,"[3, 6, 7]"
16,1,0.005,0.4,0.5,0.1692064106464386,0.007994025014340878,0,"[3, 3, 7]"
17,1,0.005,0.5,0.5,0.12176356464624405,0.005677948240190744,4,"[3, 3, 7]"
18,1,0.005,0.6,0.5,0.08110073208808899,0.0045946938917040825,1,"[3, 3, 7]"
19,1,0.005,0.7,0.5,0.08328855037689209,0.0048144105821847916,6,"[3, 6, 7]"
20,1,0.005,0.8,0.5,0.16601334512233734,0.00361749273724854,5,"[3, 3, 7]"
21,1,0.007,0.2,0.5,0.036012183874845505,0.009623113088309765,10,"[3, 6, 7]"
22,1,0.007,0.3,0.5,0.029171312227845192,0.0050742668099701405,11,"[3, 6, 7]"
23,1,0.007,0.4,0.5,0.04211587458848953,0.0073125166818499565,10,"[3, 6, 7]"
24,1,0.007,0.5,0.5,0.0632544606924057,0.005330410785973072,8,"[3, 6, 7]"
25,1,0.007,0.6,0.5,0.2252015322446823,0.004565285984426737,4,"[3, 6, 7]"
26,1,0.007,0.7,0.5,0.2903241217136383,0.004466076381504536,2,"[3, 3, 7]"
27,1,0.007,0.8,0.5,0.039596203714609146,0.006831184029579163,15,"[3, 6, 7]"
28,1,0.009000000000000001,0.2,0.5,0.04994329810142517,0.01764293760061264,10,"[3, 6, 7]"
29,1,0.009000000000000001,0.3,0.5,0.04137717932462692,0.014195051975548267,10,"[3, 6, 7]"
30,1,0.009000000000000001,0.4,0.5,0.024916917085647583,0.009702359326183796,7,"[3, 6, 7]"
