,Seed,Learning Rate,Dropout Rate,Temperature,Best Training Loss,Best Validation Loss,Epoch,Alpha Max Indices
0,1,0.001,0.2,1,0.027883563190698624,0.00514029897749424,15,"[3, 3, 7]"
1,1,0.001,0.3,1,0.04732045158743858,0.006965148262679577,10,"[3, 3, 7]"
2,1,0.001,0.4,1,0.0574505589902401,0.01730434224009514,9,"[3, 3, 7]"
3,1,0.001,0.5,1,0.06505150347948074,0.02490917220711708,7,"[3, 3, 7]"
4,1,0.001,0.6,1,0.07443565130233765,0.029054539278149605,9,"[3, 3, 7]"
5,1,0.001,0.7,1,0.08545776456594467,0.01480256300419569,10,"[3, 3, 7]"
6,1,0.001,0.8,1,0.14614930748939514,0.0032945137936621904,13,"[3, 3, 7]"
7,1,0.003,0.2,1,0.008351617492735386,0.0037221014499664307,29,"[3, 6, 7]"
8,1,0.003,0.3,1,0.17186161875724792,0.005650040227919817,0,"[3, 3, 7]"
9,1,0.003,0.4,1,0.11299645900726318,0.005971464794129133,4,"[3, 3, 7]"
10,1,0.003,0.5,1,0.1257254183292389,0.011185313574969769,3,"[3, 3, 7]"
11,1,0.003,0.6,1,0.08945072442293167,0.004794266540557146,5,"[3, 3, 7]"
12,1,0.003,0.7,1,0.07242877781391144,0.004951315466314554,9,"[3, 3, 7]"
13,1,0.003,0.8,1,0.16877210140228271,0.003353916574269533,6,"[3, 3, 7]"
14,1,0.005,0.2,1,0.02324969321489334,0.07464698702096939,10,"[3, 6, 7]"
15,1,0.005,0.3,1,0.22087401151657104,0.0070273494347929955,3,"[3, 3, 7]"
16,1,0.005,0.4,1,0.2715691924095154,0.00506202969700098,3,"[3, 3, 7]"
17,1,0.005,0.5,1,0.008996046148240566,0.0038370597176253796,33,"[3, 6, 7]"
18,1,0.005,0.6,1,0.021634548902511597,0.004772775340825319,18,"[3, 6, 7]"
19,1,0.005,0.7,1,0.09857942909002304,0.004823551047593355,5,"[3, 3, 7]"
20,1,0.005,0.8,1,0.1937740296125412,0.003967165946960449,5,"[3, 3, 7]"
21,1,0.007,0.2,1,0.03371700271964073,0.09939694404602051,9,"[3, 6, 7]"
22,1,0.007,0.3,1,0.014026968739926815,0.006935312878340483,7,"[3, 6, 7]"
23,1,0.007,0.4,1,0.3387170732021332,0.010962708853185177,3,"[3, 3, 7]"
24,1,0.007,0.5,1,0.01521302293986082,0.0034854505211114883,19,"[3, 6, 7]"
25,1,0.007,0.6,1,0.05885480344295502,0.004707712214440107,7,"[3, 6, 7]"
26,1,0.007,0.7,1,0.13972876965999603,0.004395218566060066,6,"[3, 6, 7]"
27,1,0.007,0.8,1,0.1547461897134781,0.01070151012390852,4,"[3, 6, 7]"
28,1,0.009000000000000001,0.2,1,0.0302763469517231,0.013921154662966728,7,"[3, 6, 7]"
29,1,0.009000000000000001,0.3,1,0.03127390891313553,0.010126343928277493,8,"[3, 6, 7]"
30,1,0.009000000000000001,0.4,1,0.059278860688209534,0.0776357352733612,4,"[3, 6, 7]"
31,1,0.009000000000000001,0.5,1,0.011553362011909485,0.004593946039676666,21,"[3, 6, 7]"
32,1,0.009000000000000001,0.6,1,0.23392628133296967,0.00419530039653182,4,"[3, 6, 7]"
33,1,0.009000000000000001,0.7,1,0.011693787761032581,0.004731487482786179,25,"[3, 6, 7]"
34,1,0.009000000000000001,0.8,1,0.3664340078830719,0.005478225648403168,1,"[3, 3, 7]"
35,1,0.011,0.2,1,0.03644590079784393,0.026126550510525703,6,"[3, 6, 7]"
36,1,0.011,0.3,1,0.03950613737106323,0.0926947072148323,7,"[3, 6, 7]"
37,1,0.011,0.4,1,0.05046083405613899,0.024222753942012787,4,"[3, 6, 7]"
38,1,0.011,0.5,1,0.04525119438767433,0.0055777039378881454,8,"[3, 6, 7]"
39,1,0.011,0.6,1,0.0181892067193985,0.00629087770357728,8,"[3, 6, 7]"
40,1,0.011,0.7,1,0.1437833607196808,0.02357972413301468,4,"[3, 6, 7]"
41,1,0.011,0.8,1,0.03392171114683151,0.007837016135454178,14,"[3, 6, 7]"
42,1,0.013000000000000001,0.2,1,0.014563281089067459,0.006559145636856556,21,"[3, 6, 7]"
43,1,0.013000000000000001,0.3,1,0.04721895605325699,0.020406952127814293,6,"[3, 6, 7]"
44,1,0.013000000000000001,0.4,1,0.020806774497032166,0.013936742208898067,22,"[3, 6, 7]"
45,1,0.013000000000000001,0.5,1,0.05382866412401199,0.006479715462774038,7,"[3, 6, 7]"
46,1,0.013000000000000001,0.6,1,0.18058466911315918,0.010580784641206264,0,"[3, 3, 7]"
47,1,0.013000000000000001,0.7,1,0.22082321345806122,0.016668863594532013,4,"[3, 6, 7]"
48,1,0.013000000000000001,0.8,1,0.028829721733927727,0.008132681250572205,14,"[3, 6, 7]"
49,1,0.015,0.2,1,0.015924114733934402,0.006396220065653324,20,"[3, 6, 7]"
50,1,0.015,0.3,1,0.17919322848320007,0.04575219377875328,3,"[3, 6, 7]"
51,1,0.015,0.4,1,0.02046549879014492,0.008917301893234253,24,"[3, 6, 7]"
52,1,0.015,0.5,1,0.07096303254365921,0.014145593158900738,5,"[3, 6, 7]"
53,1,0.015,0.6,1,0.18058466911315918,0.004479239694774151,0,"[3, 3, 7]"
54,1,0.015,0.7,1,0.018801165744662285,0.005747870542109013,24,"[3, 6, 7]"
55,1,0.015,0.8,1,0.2180263102054596,0.0050339954905211926,6,"[3, 6, 7]"
56,1,0.017,0.2,1,0.01474064588546753,0.008726733736693859,20,"[3, 6, 7]"
57,1,0.017,0.3,1,0.18315733969211578,0.5648106932640076,3,"[3, 6, 7]"
58,1,0.017,0.4,1,0.22800301015377045,0.05494748800992966,3,"[3, 6, 7]"
59,1,0.017,0.5,1,0.05446043610572815,0.010484546422958374,4,"[3, 6, 7]"
60,1,0.017,0.6,1,1.0607974529266357,0.017244454473257065,3,"[3, 6, 7]"
61,1,0.017,0.7,1,0.020763227716088295,0.006197551731020212,23,"[3, 6, 7]"
62,1,0.017,0.8,1,0.02138197422027588,0.006819996051490307,14,"[3, 6, 7]"
63,1,0.019000000000000003,0.2,1,0.014609876088798046,0.0038373726420104504,28,"[3, 6, 7]"
64,1,0.019000000000000003,0.3,1,0.07103892415761948,0.024195736274123192,4,"[3, 6, 7]"
65,1,0.019000000000000003,0.4,1,0.014262381009757519,0.005358027759939432,29,"[3, 6, 7]"
66,1,0.019000000000000003,0.5,1,0.022939877584576607,0.007006063591688871,16,"[3, 6, 7]"
67,1,0.019000000000000003,0.6,1,0.18058466911315918,0.0911683514714241,0,"[3, 3, 7]"
68,1,0.019000000000000003,0.7,1,0.021824391558766365,0.005540394689887762,21,"[3, 6, 7]"
69,1,0.019000000000000003,0.8,1,0.4505903124809265,0.10801190137863159,2,"[3, 6, 7]"
70,1,0.021,0.2,1,0.01229066215455532,0.0038791520055383444,29,"[3, 6, 7]"
71,1,0.021,0.3,1,0.17104440927505493,0.31729966402053833,5,"[3, 6, 7]"
72,1,0.021,0.4,1,0.11907919496297836,0.09771445393562317,4,"[3, 6, 7]"
73,1,0.021,0.5,1,0.14538180828094482,0.019701479002833366,3,"[3, 6, 7]"
74,1,0.021,0.6,1,0.720940113067627,0.026032207533717155,3,"[3, 6, 7]"
75,1,0.021,0.7,1,0.21987749636173248,0.33688560128211975,0,"[3, 3, 7]"
76,1,0.021,0.8,1,0.006468971725553274,0.005450447555631399,38,"[3, 6, 7]"
77,1,0.023,0.2,1,0.01894855871796608,0.005914508830755949,23,"[3, 6, 7]"
78,1,0.023,0.3,1,0.2512512803077698,0.014481164515018463,5,"[3, 6, 7]"
79,1,0.023,0.4,1,0.2454633265733719,0.3116964101791382,5,"[3, 6, 7]"
80,1,0.023,0.5,1,0.21541616320610046,0.01649586670100689,6,"[3, 6, 7]"
81,1,0.023,0.6,1,0.005737817846238613,0.003930552396923304,40,"[3, 6, 7]"
82,1,0.023,0.7,1,0.21987749636173248,0.22731970250606537,0,"[3, 3, 7]"
83,1,0.023,0.8,1,0.017009887844324112,0.007808399852365255,22,"[3, 6, 7]"
